Number of iterations;Difference from the answer
0;2.135559646365254164
1;0.9328824264367678978
2;0.5357009023217198174
3;0.09019577049962918501
4;0.001727663492590169144
5;1.650270293620723343e-06
6;6.182264823770960982e-12
